"cifar -10, NASBench-201",,,,,
DARTS-PT,88.21,,,,
DARTS-PT-RAND,88.02,79.97,88.24,88.21,90.25
DARTS-PT-ENTROPY,89.94,88.28,87.98,88.28,77.09
DARTS-PT-FL,87.98,90.65,89.76,87.98,89.97
ADAPTIVE-DPT,94.36,90.36,93.83,92.6,94.29
"cifar -100, NASBench-201",,,,,
DARTS-PT,61.65,,,,
DARTS-PT-RAND,59.43,58.19,47.93,59.79,59.43
DARTS-PT-ENTROPY,47.93,59.86,48.11,67.4,60.67
DARTS-PT-FL,61.63,67.4,66.76,59.51,66.03
ADAPTIVE-DPT,61.13,67.4,67.4,59.43,65.64
"imagenet, NASBench-201",,,,,
DARTS-PT,35,,,,
DARTS-PT-RAND,25.94,20.98,33.23,21.3,33.67
DARTS-PT-ENTROPY,26.29,25.94,26.12,21.3,32.97
DARTS-PT-FL,36.6,29.5,21.3,25.94,33.12
ADAPTIVE-DPT,44.48,35.8,39.39,27.91,39.69
S4,,,,,
DARTS-PT,97.31,,,,
DARTS-PT-RAND,97.41,97.4,97.5,97.33,97.38
DARTS-PT-ENTROPY,97.3,97.5,97.56,97.47,97.45
DARTS-PT-FL,97.3,97.5,97.47,97.32,97.15
ADAPTIVE-DPT,97.32,97.5,97.22,97.23,97.2
DARTS,,,,,
DARTS-PT,97.17,,,,
DARTS-PT-RAND,97.32,96.84,97.25,96.55,97.1
DARTS-PT-ENTROPY,96.37,96.75,96.62,96.99,96.75
DARTS-PT-FL,96.84,97,96.94,96.69,97.06
ADAPTIVE-DPT,96.84,96.77,96.31,97.1,96.64
